ID;WORD;VOCALIZED;WORD_TYPE;ANTO_SET;ANTO_SET_VOCALIZED
1;المفردة ;المفردة ;النوع;"الضد";"الضد"
2;ائتلاف;اِئْتِلاَف;اسم;"اختلاف;تنافر";"اِخْتِلاَف;تَنَافُر"
3;ائتلف ;اِئْتَلَفَ ;فعل;"اختلف";"اِخْتَلَفَ"
4;ائتمان;اِئْتِمَان;اسم;"خيانة";"خِيَانة"
5;أؤتمن ;أُؤْتُمِنَ ;فعل;"خان";"خَانَ"
6;آب;آبَ;فعل;"ذهب";"ذَهَبَ"
7;أبى ;أبَى ;فعل;"رضي";"رَضِيَ"
8;أباء (بالمكان) ;أبَاءَ (بالمَكَانِ) ;فعل;"رحل (عنه)";"رَحَلَ (عَنْهُ)"
9;إباء;إِبَاء;اسم;"ذل;هوان";"ذُل;هَوَان"
10;إباءة;إِبَاءَة;اسم;"ارتحال";"اِرْتِحَال"
11;أبابيل(من الطير);أَبَابِيل(مِنَ الطَيْرِ);اسم;"متفرّقة;متشتّتة;أباديد";"مُتَفَرِّقَة;مُتَشَتِّتَة;أَبَادِيدُ"
12;أباح (السر);أبَاحَ (السِّرَ);فعل;"كتم";"كَتَمَ"
13;أباح (له الشيء);أَبَاحَ (لَهُ الشَيْءَ);فعل;"منع";"مَنَعَ"
14;أباخ;أَبَاخَ;فعل;"أشعل";"أَشْعَلَ"
15;إباخة;إِبَاخَةٌ;اسم;"إشعال";"إِشْعَال"
16;أباديد(من الطير);أَبَادِيد(مِنَ الطَّيْرِ);اسم;"مجتمعة;أبابيل";"مُجْتَمِعَة;أَبَابِيل"
17;أباد ;أَبَادَ ;فعل;"أحيا";"أَحْيَا"
18;إبادة;إِبَادَة;اسم;"إحياء";"إِحْيَاء"
19;أباعد;أَبَاعِد;اسم;"أقارب";"أَقَارِب"
20;أبان (الشيء);أَبَانَ (الشَيْءَ);فعل;"أخفا";"أَخْفَا"
21;إبانة;إِبَانَة;اسم;"عيّ;إخفاء";"عِيّ;إِخْفَاء"
22;ابتدأ;ابْتَدَأَ;فعل;"انتهى";"انْتَهَى"
23;ابتداء;اِبْتِدَاء;اسم;"إنتهاء;ختام";"إِنْتِهَاء;خِتَام"
24;ابتدار;اِبْتِدَار;اسم;"تأخّر;تلكّؤ;إبطاء";"تَأَخُّر;تَلَكُّؤ;إِبْطَاء"
25;ابتداه;اِبْتِدَاه;اسم;"تصنّع;تكلّف";"تَصَنُّع;تَكَلُّف"
26;ابتدر;ابْتَدَرَ;فعل;"تلكّأ;تأخّر;أبطأ";"تَلَكَّأَ;تَأَخَّرَ;أَبْطَأَ"
27;ابتده (الخطبة);ابْتَدَهَ (الخُطْبَةَ);فعل;"تكلّف;تصنّع (فيها)";"تَكَلَّفَ;تَصَنَّعَ (فِيهَا)"
28;ابتذال;اِبْتِذَال;اسم;"احتشام";"اِحْتِشَام"
29;ابتذل ;اِبْتَذَلَ ;فعل;"احتشم ;عزّ";"اِحْتَشَمَ ;عَزَّ"
30;ابتسام;اِبْتِسَام;اسم;"عبوس";"عُبُوس"
31;ابتسامة;اِبْتِسَامَة;اسم;"عبوسة;عبوس";"عُبُوسَة;عُبُوس"
32;ابتسم ;اِبْتَسَمَ ;فعل;"عبس";"عَبَسَ"
33;ابتعاد;اِبْتِعَاد;اسم;"اقتراب;دنوّ";"اِقْتِرَاب;دُنُوّ"
34;ابتعد ;اِبْتَعَدَ ;فعل;"اقترب ;جاور";"اِقْتَرَبَ ;جَاوَرَ"
35;ابتكار;اِبْتِكَار;اسم;"تقليد";"تَقْلِيد"
36;ابتكر ;اِبْتَكَرَ ;فعل;"قلّد";"قَلَّدَ"
37;ابتل;اِبْتَلَّ;فعل;"جفّ;مرض ;نشف";"جَفَّ;مَرِضَ ;نَشُفَ"
38;ابتلاع;اِبْتِلاَعٌ;اسم;"تقيّؤ";"تَقَيُّؤ"
39;ابتلال;اِبْتِلاَل;اسم;"جفاف";"جَفَاف"
40;ابتلع ;اِبْتَلَعَ ;فعل;"تقيّأ";"تَقَيَّأَ"
41;ابتنى;اِبْتَنَى;فعل;"هدم ;خرّب";"هَدَمَ ;خَرَّبَ"
42;ابتهاج;اِبْتِهَاج;اسم;"اكتئاب;غمّ;حزن";"اِكْتِئَاب;غَمّ;حُزْن"
43;ابتهاش;اِبْتِهَاش;اسم;"حزن;اكتئاب";"حُزْن;اِكْتِئَاب"
44;ابتهج ;اِبْتَهجَ ;فعل;"اكتأب ;حزن";"اِكْتَأبَ ;حَزِنَ"
45;ابتهش ;اِبْتَهَشَ ;فعل;"حزن";"حَزِنَ"
