ID;WORD;VOCALIZED;WORD_TYPE;PLURAL;PLURAL_VOCALIZED
1;آبدة ;آبدة ;اسم; أوابد; أوابد
2;أبد ;أبد ;اسم; آباد; آباد
3;محقن ;محقن ;اسم; إبر; إبر
4;أبور ;أبور ;اسم; أبر; أبر
5;مأبر ;مأبر ;اسم; مآبر; مآبر
6;مئبر ;مئبر ;اسم; مآبر; مآبر
7;مئبرة ;مئبرة ;اسم; مآبر; مآبر
8;إباض ;إباض ;اسم; أبض; أبض
9;أبوض ;أبوض ;اسم; أبض; أبض
10;مأبض ;مأبض ;اسم; مآبض; مآبض
11;إباط ;إباط ;اسم; أبط; أبط
12;إبط ;إبط ;اسم; آباط; آباط
13;إبل ;إبل ;اسم; آبال; آبال
14;مأبلة ;مأبلة ;اسم; مآبل; مآبل
15;شياطين ;شياطين ;اسم; أباليس; أباليس
16;أبنة ;أبنة ;اسم; أبن; أبن
17;أب ;أب ;اسم; آباء; آباء
18;مأباة ;مأباة ;اسم; مآب; مآب
19;مأتم ;مأتم ;اسم; مآتم; مآتم
20;أتان ;أتان ;اسم; أتن; أتن
21;إتاوة ;إتاوة ;اسم; أتاوى; أتاوى
22;أثاث ;أثاث ;اسم; أثث; أثث
23;إثار ;إثار ;اسم; أثر; أثر
24;أثر ;أثر ;اسم; آثار; آثار
25;مأثرة ;مأثرة ;اسم; مآثر; مآثر
26;مئثرة ;مئثرة ;اسم; مآثر; مآثر
27;أثفية ;أثفية ;اسم; أثافي; أثافي
28;أثلة ;أثلة ;اسم; إثال; إثال
29;إثم ;إثم ;اسم; آثام; آثام
30;أجر ;أجر ;اسم; أجور; أجور
31;أجرة ;أجرة ;اسم; أجر; أجر
32;أجير ;أجير ;اسم; أجراء; أجراء
33;أجل ;أجل ;اسم; آجال; آجال
34;إجل ;إجل ;اسم; آجال; آجال
35;مأجل ;مأجل ;اسم; مآجل; مآجل
36;أجم ;أجم ;اسم; آجام; آجام
37;أجمة ;أجمة ;اسم; أجم; أجم
38;إجانة ;إجانة ;اسم; أجاجين; أجاجين
39;مئجنة ;مئجنة ;اسم; مآجن; مآجن
40;أحد ;أحد ;اسم; آحاد; آحاد
41;إحنة ;إحنة ;اسم; إحن; إحن
42;إخاذة ;إخاذة ;اسم; إخاذ; إخاذ
43;أخذ ;أخذ ;اسم; أخذان; أخذان
44;إخذة ;إخذة ;اسم; إخاذ; إخاذ
45;مأخذ ;مأخذ ;اسم; مآخذ; مآخذ
46;أخرى ;أخرى ;اسم; أخر; أخر
47;مئخار ;مئخار ;اسم; مآخير; مآخير
48;آخية ;آخية ;اسم; أواخ; أواخ
49;آخية ;آخية ;اسم; أواخي; أواخي
50;أخ ;أخ ;اسم; آخاء; آخاء
51;أخت ;أخت ;اسم; أخوات; أخوات
52;أخية ;أخية ;اسم; أخايا; أخايا
53;آدب ;آدب ;اسم; أدبة; أدبة
54;صرف ;صرف ;اسم; آداب; آداب
55;أديب ;أديب ;اسم; أدباء; أدباء
56;إد ;إد ;اسم; إداد; إداد
57;إدة ;إدة ;اسم; إدد; إدد
58;أدرة ;أدرة ;اسم; أدر; أدر
59;مأدور ;مأدور ;اسم; مآدير; مآدير
60;إدام ;إدام ;اسم; أدم; أدم
61;أديم ;أديم ;اسم; أدم; أدم
62;أداة ;أداة ;اسم; أدوات; أدوات
63;إداوة ;إداوة ;اسم; أداوى; أداوى
64;أذن ;أذن ;اسم; آذان; آذان
65;أذنة ;أذنة ;اسم; أذن; أذن
66;مئذنة ;مئذنة ;اسم; مآذن; مآذن
67;آذي ;آذي ;اسم; أواذي; أواذي
