ID;INVERSED;VOCALIZED;WORD_TYPE
1;أبأ;أَبَأَ;فعل
2;بأ;أَبَّ;فعل
3;ببأت;تَأَبَّبَ;فعل
4;بتئا;اِئْتَبَّ;فعل
5;بأتسا;اِسْتَأَبَّ;فعل
6;تبأ;أَبِتَ;فعل
7;دبأ;أَبَدَ;فعل
8;دبأ;أَبِدَ;فعل
9;دبأ;أَبَّدَ;فعل
10;دبأت;تَأَبَّدَ;فعل
11;ربأ;أبَرَ;فعل
12;ربأ;أَبِرَ;فعل
13;ربأ;أَبَّرَ;فعل
14;ربأت;تَأَبَّرَ;فعل
15;ربتئا;اِئْتَبَرَ;فعل
16;زبأ;أَبَزَ;فعل
17;سبأ;أَبَسَ;فعل
18;سبأ;أَبَّسَ;فعل
19;شبأ;أَبَشَ;فعل
20;شبأ;أَبَّشَ;فعل
21;شبأت;تَأَبَّشَ;فعل
22;صبأ;أَبَصَ;فعل
23;صبأ;أَبِصَ;فعل
24;ضبأ;أَبَضَ;فعل
25;ضبأ;أَبِضَ;فعل
26;ضبأت;تأَبَّضَ;فعل
27;طبأت;تَأَبَّطَ;فعل
28;قبأ;أَبَقَ;فعل
29;قبأ;أَبِقَ;فعل
30;قبأت;تَأَبَّقَ;فعل
31;لبأ;أَبَلَ;فعل
32;لبأ;أَبِلَ;فعل
33;لبأ;أَبُلَ;فعل
34;لبأ;أَبَّلَ;فعل
35;لبآ;آبَلَ;فعل
36;لبأت;تَأَبَّلَ;فعل
37;لبتئا;اِئْتَبَلَ;فعل
38;نبأ;أَبَنَ;فعل
39;نبأ;أَبَّنَ;فعل
40;نبأت;تَأَبَّنَ;فعل
41;هبأ;أَبَهَ;فعل
42;هبأ;أَبِهَ;فعل
43;هبأ;أَبَّهَ;فعل
44;هبأت;تَأَبَّهَ;فعل
45;ابأ;أَبَا;فعل
46;ىبأ;أَبَّى;فعل
47;ىبأت;تَأَبَّى;فعل
48;ىبأتسا;اِسْتَأْبَى;فعل
49;ىبأ;أَبَى;فعل
50;يبأ;أَبِيَ;فعل
51;ىبآ;آبَى;فعل
52;ىبأت;تَأَبَّى;فعل
53;بتأ;أَتَّبَ;فعل
54;بتأت;تَأَتَّبَ;فعل
55;تأ;أَتَّ;فعل
56;لتأ;أَتَلَ;فعل
57;متأ;أَتَمَ;فعل
58;متأ;أَتِمَ;فعل
59;نتأ;أَتَنَ;فعل
60;نتآ;آتَنَ;فعل
61;نتأتسا;اِسْتَأْتَنَ;فعل
62;ىتأ;أَتَى;فعل
63;ىتأ;أَتَّى;فعل
64;ىتآ;آتَى;فعل
65;ىتأت;تَأَتَّى;فعل
66;ىتأتسا;اِسْتَأْتَى;فعل
67;ثأ;أَثَّ;فعل
68;ثأ;أَثَّ;فعل
69;ثثأ;أَثَّثَ;فعل
70;ثثأت;تَأَثَّثَ;فعل
71;رثأ;أَثَرَ;فعل
72;رثأ;أَثِرَ;فعل
73;رثأ;أَثَّرَ;فعل
74;رثآ;آثَرَ;فعل
75;رثأت;تَأَثَّرَ;فعل
76;رثتئا;اِئْتَثَرَ;فعل
77;رثأتسا;اِسْتَأْثَرَ;فعل
78;فثأ;أَثَفَ;فعل
79;فثأ;أَثَّفَ;فعل
80;فثآ;آثَفَ;فعل
81;فثأت;تَأَثَّفَ;فعل
82;لثأ;أَثَلَ;فعل
83;لثأ;أَثُلَ;فعل
84;لثأ;أَثَّلَ;فعل
85;لثأت;تَأَثَّلَ;فعل
86;مثأ;أَثِمَ;فعل
87;مثأ;أَثَّمَ;فعل
88;مثآ;آثَمَ;فعل
89;مثأت;تَأَثَّمَ;فعل
90;اثأ;أَثا;فعل
91;ىثآ;آثَى;فعل
92;ىثآت;تَآثَى;فعل
93;جأ;أَجَّ;فعل
94;ججأ;أَجَّجَ;فعل
95;ججآ;آجَجَ;فعل
96;ججأت;تَأَجَّجَ;فعل
97;جتئا;اِئْتَجَّ;فعل
98;دجأ;أَجَدَ;فعل
99;دجأ;أَجَّدَ;فعل
100;دجآ;آجَدَ;فعل
101;رجأ;أَجَرَ;فعل
102;رجآ;آجَرَ;فعل
103;رجآ;آجَرَ;فعل
104;رجتئا;اِئْتَجَرَ;فعل
105;رجأتسا;اِسْتَأْجَرَ;فعل
106;زجأتسا;اِسْتَأْجَزَ;فعل
107;لجأ;أَجَلَ;فعل
108;لجأ;أَجِلَ;فعل
109;لجأ;أَجَّلَ;فعل
110;لجآ;آجَلَ;فعل
111;لجأت;تَأَجَّلَ;فعل
112;لجأتسا;اِسْتَأْجَلَ;فعل
113;مجأ;أَجَمَ;فعل
114;مجأ;أَجِمَ;فعل
115;مجأ;أَجَّمَ;فعل
116;مجآ;آجَمَ;فعل
117;مجأت;تَأَجَّمَ;فعل
118;نجأ;أَجَنَ;فعل
119;نجأ;أَجُنَ;فعل
120;نجأ;أَجِنَ;فعل
121;حأ;أحَّ;فعل
122;ىحأ;أَحَّى;فعل
123;دحأ;أَحَّدَ;فعل
124;دحأتسا;اِسْتَأْحَدَ;فعل
125;نحأ;أَحِنَ;فعل
126;نحآ;آحَنَ;فعل
127;ذخأ;أَخَذَ;فعل
128;ذخأ;أَخُذَ;فعل
129;ذخت;تَخِذَ;فعل
130;ذخأ;أَخَّذَ;فعل
131;ذخآ;آخَذَ;فعل
132;ذخآ;آخَذَ;فعل
133;ذختئا;اِئْتَخَذَ;فعل
134;ذختا;اِتَّخَذَ;فعل
135;ذخأتسا;اِسْتَأْخَذَ;فعل
136;رخأ;أَخَّرَ;فعل
137;رخأت;تَأَخَّرَ;فعل
138;رخأتسا;اِسْتَأْخَرَ;فعل
139;اخأ;أَخا;فعل
140;ىخأ;أَخَّى;فعل
141;ىخآ;آخَى;فعل
142;ىخأت;تَأَخَّى;فعل
