ID;WORD;VOCALIZED;WORD_TYPE;SYNO_SET;SYNO_SET_VOCALIZED
1;ائتلاف;اِئْتِلاف;اسم;"اجتماع;اتفاق";"اِجْتِماع;اِتِفاق"
2;ائتلف;اِئْتلفَ;فعل;"اجتمع;اتّفق";"اِجْتَمع;اِتَّفَق"
3;ائتمام;اِئْتِمام;اسم;"قصد;اقتداء";"قَصْد;اِقْتِداء"
4;ائتم;اِئْتَمّ;فعل;"قصد";"قَصَدَ"
5;ائتم ;اِئْتَم ;فعل;"اقتدى";"اقْتَدى"
6;آب;آبَ;فعل;"رجع";"رَجعَ"
7;أبى;أََبَى;فعل;"كره;رفض";"كَرِهَ;رَفَضَ"
8;أباء ;أَباءَ ;فعل;"أقام";"أَقامَ"
9;إباء;إِبَاء;اسم;"أنفة;كبر;امتناع";"أَنَفَة;كِبْر;اِمْتِناع"
10;إباءة;إِباءَة;اسم;"إقامة";"إِقامَة"
11;أبابيل (من الطير);أَبابِيل (من الطيْر);اسم;"مجتمّعة";"مُجْتَمِّعة"
12;أباح (السر);أَباح (السِر);فعل;"أظهر;أفشى";"أَظْهرَ;أَفْشى"
13;أباح ;أَباح ;فعل;"أجاز;سمح";"أجازَ;سَمَحَ"
14;أباخ (النار);أَباخَ (النَّار);فعل;"أطفأ;أخمد";"أَطْفأ;أَخْمدَ"
15;إباخة;إِباخَة;مصدر;"إطفاء;إخماد";"إطْفَاءْ;إِخْمادْ"
16;أبابيد( من الطير);أَبَابِيد( مِنَ الطَيْرِ);اسم;"متفرّقة;متشتّتة";"مُتَفَرِّقَة;مُتَشَتِّتَة"
17;أباد;أَبَادَ;فعل;"أهلك;أفنى";"أهْلَكَ;أَفْنَى"
18;إبادة;إِبادَة;مصدر;"إهلاك;إفناء";"إِهْلاَكْ;إِفْناء"
19;أبان ;أَباَنَ ;فعل;"أوضح;";"أَوْضَحَ;"
20;إبانة;إِبانَة;مصدر;"إيضاح;";"إِيضاَح;"
21;ابتدأ;اِبْتَدأَ;فعل;"افتتح;أخذ ";"اِفْتَتَحَ;أَخَذَ "
22;ابتداء;اِبْتِداء;مصدر;"افتتاح;";"اِفْتِتاح;"
